departure_date,airline_code,flight_number,source_airport,destination_airport,flight_status,departure_scheduled_time,departure_actual_time,arrival_scheduled_time,arrival_actual_time
2018-02-01,IB,7618,LHR,BKK,LANDED,1517497500,1517497980,1517538300,1517538360
2018-02-01,BA,944,LHR,DUS,LANDED,1517500200,1517501100,1517505300,1517506080
2018-02-01,JL,7725,LHR,STR,LANDED,1517501400,1517501100,1517507400,1517507460
2018-02-01,AI,7317,LHR,YVR,LANDED,1517495400,1517497980,1517529900,1517532480
2018-02-01,AC,6124,LHR,BKK,LANDED,1517485800,1517485740,1517526900,1517525040
2018-02-01,IB,4796,LHR,SEA,LANDED,1517478000,1517477760,1517513700,1517514540
2018-02-01,SQ,2642,LHR,ARN,LANDED,1517511600,1517511300,1517520600,1517519940
2018-02-01,AA,7988,LHR,DOH,LANDED,1517475600,1517475540,1517499900,1517499780
2018-02-01,MF,9306,LHR,AMS,LANDED,1517485500,1517486700,1517490300,1517490420
2018-02-01,OZ,522,LHR,ICN,LANDED,1517516700,1517517600,1517556000,1517556480
2018-02-01,BA,604,LHR,PSA,LANDED,1517482800,1517484000,1517490900,1517491260
2018-02-01,AA,729,LHR,PHL,LANDED,1517495700,1517495520,1517526600,1517527440
2018-02-01,BA,858,LHR,PRG,LANDED,1517512800,1517512680,1517520000,1517519640
2018-02-01,UA,9761,LHR,ZRH,LANDED,1517475000,1517474820,1517481600,1517481120
2018-02-01,BA,370,LHR,MRS,LANDED,1517501400,1517501160,1517508300,1517508240
2018-02-01,OS,7805,LHR,IAD,LANDED,1517486400,1517485980,1517517000,1517516280
2018-02-01,IB,7441,LHR,MAD,LANDED,1517466600,1517466600,1517475300,1517474160
2018-02-01,QR,5900,LHR,BHD,LANDED,1517489400,1517488920,1517494500,1517493900
2018-02-01,IB,7443,LHR,MAD,LANDED,1517470200,1517470020,1517479200,1517478540
2018-02-01,AA,6692,LHR,NCL,LANDED,1517487300,1517486820,1517492100,1517491740
2018-02-01,BA,910,LHR,FRA,LANDED,1517497800,1517497680,1517504100,1517503800
2018-02-01,IB,7551,LHR,GOT,LANDED,1517495400,1517495280,1517502900,1517502960
2018-02-01,BA,257,LHR,DEL,LANDED,1517511300,1517511540,1517541600,1517541660
2018-02-01,EI,177,LHR,DUB,LANDED,1517514300,1517515020,1517519100,1517518500
2018-02-01,OZ,9404,LHR,VIE,LANDED,1517513700,1517513700,1517521800,1517521740
2018-02-01,BA,712,LHR,ZRH,LANDED,1517475900,1517476440,1517482800,1517482200
2018-02-01,BA,830,LHR,DUB,LANDED,1517473200,1517473080,1517478000,1517477520
2018-02-01,BA,1304,LHR,ABZ,LANDED,1517468400,1517467980,1517473800,1517473440
2018-02-01,EY,5840,LHR,LIS,LANDED,1517487900,1517488020,1517497800,1517495700
2018-02-01,BA,720,LHR,ZRH,LANDED,1517512500,1517512320,1517519100,1517518620
2018-02-01,AM,6044,LHR,CDG,LANDED,1517514600,1517514600,1517518800,1517518680
2018-02-01,IB,4687,LHR,JFK,LANDED,1517502300,1517502300,1517531400,1517531820
2018-02-01,EI,159,LHR,DUB,LANDED,1517487300,1517488500,1517492700,1517493240
2018-02-01,LH,2481,LHR,MUC,LANDED,1517516100,1517517360,1517522400,1517524260
2018-02-01,AY,5413,LHR,BOS,LANDED,1517483700,1517483760,1517511300,1517511960
2018-02-01,AC,5426,LHR,EWR,LANDED,1517474400,1517473860,1517504400,1517503260
2018-02-01,QR,6,LHR,DOH,LANDED,null,1517471700,1517493780,1517494320
2018-02-01,IB,7676,LHR,MAN,LANDED,1517490900,1517491200,1517494500,1517494800
2018-02-01,IB,4784,LHR,ARN,LANDED,1517499600,1517499180,1517508900,1517508600
2018-02-01,TP,6898,LHR,AUH,LANDED,1517493900,1517493660,1517520000,1517517540
2018-02-01,LH,7633,LHR,EWR,LANDED,1517508000,1517507340,1517538600,1517537580
2018-02-01,BA,5977,LHR,DUB,LANDED,1517514300,1517515020,1517519100,1517518500
2018-02-01,AA,6653,LHR,NBO,LANDED,1517479800,1517481420,1517510100,1517511660
2018-02-01,AA,47,LHR,ORD,LANDED,1517485800,1517485440,1517517900,1517517720
2018-02-01,CX,1243,LHR,MAN,LANDED,1517514300,1517514120,1517517900,1517517720
2018-02-01,BA,1314,LHR,ABZ,LANDED,1517503800,1517504100,1517509500,1517509800
2018-02-01,A3,1735,LHR,LIS,LANDED,1517502600,1517502660,1517512200,1517511000
2018-02-01,EY,7452,LHR,ARN,LANDED,1517481300,1517484180,1517490300,1517491440
2018-02-01,AA,105,LHR,JFK,LANDED,1517496300,1517495520,1517525700,1517526660
2018-02-01,EI,8889,LHR,EWR,LANDED,1517500200,1517500680,1517529300,1517529960
2018-02-01,AA,7192,LHR,AMM,LANDED,1517501100,1517500860,1517519100,1517517660
2018-02-01,IB,4867,LHR,BIO,LANDED,1517473200,1517473860,1517480100,1517479860
2018-02-01,IB,4708,LHR,BHD,LANDED,1517489400,1517488920,1517494500,1517493900
2018-02-01,BA,5941,LHR,SNN,LANDED,1517478600,1517479140,1517483700,1517484120
2018-02-01,AA,6207,LHR,YYZ,LANDED,1517485200,1517486100,1517514000,1517516460
2018-02-01,BA,1386,LHR,MAN,LANDED,1517472300,1517473440,1517475900,1517476680
2018-02-01,EI,8907,LHR,MIA,LANDED,1517475900,1517477340,1517511300,1517512260
2018-02-01,AA,6440,LHR,GLA,LANDED,1517497800,1517497860,1517503200,1517503380
2018-02-01,BA,560,LHR,FCO,LANDED,1517489400,1517489220,1517498700,1517498340
2018-02-01,VS,117,LHR,MIA,LANDED,1517478000,1517477820,1517514600,1517513940
2018-02-01,IB,7493,LHR,MAN,LANDED,1517514300,1517514120,1517517900,1517517720
2018-02-01,DL,7573,LHR,DEL,LANDED,1517517600,1517517600,1517548800,1517549220
2018-02-01,LH,6840,LHR,YVR,LANDED,1517495400,1517497980,1517529900,1517532480
2018-02-01,IB,4702,LHR,LBA,LANDED,1517506200,1517506140,1517510100,1517509800
2018-02-01,BA,5945,LHR,SNN,LANDED,1517513700,1517513880,1517518020,1517517240
2018-02-01,TP,7435,LHR,ATH,LANDED,1517523300,1517523180,1517536200,1517535480
2018-02-01,VS,23,LHR,LAX,LANDED,1517498400,1517498100,1517538900,1517538960
2018-02-01,AY,5963,LHR,EDI,LANDED,1517475300,1517474820,1517480400,1517480280
2018-02-01,AA,6292,LHR,BCN,LANDED,1517491200,1517491620,1517499000,1517498760
2018-02-01,IB,4249,LHR,RDU,LANDED,1517481300,1517481240,1517513400,1517513100
